"","orig_no","taxon_no","record_type","flags","taxon_rank","taxon_name","difference","accepted_no","accepted_rank","accepted_name","parent_no","container_no","reference_no","is_extant","n_occs"
"1349","108998",108998,"txn","","genus","Argentoconodon",NA,108998,"genus","Argentoconodon",91432,"",25425,"extinct",2
"1350","53114",53114,"txn","","species","Argentoconodon fariasorum",NA,53114,"species","Argentoconodon fariasorum",108998,"",25425,"extinct",1
"1351","208906",208906,"txn","","genus","Ichthyoconodon",NA,208906,"genus","Ichthyoconodon",91432,"",38855,"extinct",2
"1352","208907",208907,"txn","","species","Ichthyoconodon jaworowskorum",NA,208907,"species","Ichthyoconodon jaworowskorum",208906,"",38855,"extinct",1
"1353","68674",68674,"txn","","genus","Triconolestes",NA,68674,"genus","Triconolestes",91432,"",15188,"extinct",3
"1354","68675",68675,"txn","","species","Triconolestes curvicuspis",NA,68675,"species","Triconolestes curvicuspis",68674,"",15188,"extinct",1
"1355","91433",91433,"txn","","genus","Volaticotherium",NA,91433,"genus","Volaticotherium",91432,"",19497,"extinct",2
"1356","91434",91434,"txn","","species","Volaticotherium antiquus",NA,91434,"species","Volaticotherium antiquus",91433,"",19497,"extinct",1
"1357","39761",39761,"txn","","genus","Alticonodon",NA,39761,"genus","Alticonodon",208916,"",1508,"extinct",4
"1358","43945",43945,"txn","","species","Alticonodon lindoei",NA,43945,"species","Alticonodon lindoei",39761,"",1508,"extinct",2
